	summarized	lineages	abundances	resid	coverage
WK117-4493	[('Omicron', 0.9959649889932202)]	XBB.1.5.22 XBB.1.18.1 XBB.1.5.24 XBB.1.5.43 XBB.1.6 XBB.1.30 XBB.1.1 XBB.1.21 XBB.1.28 XBB.1.18 XBB.1.7 XBB.1.13 CS.1 BA.4.1.10 XN BP.1	0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.08175036 0.00433651 0.00433651 0.00373134 0.00255624	0.5193391137015992	2.7488880714309603
WK117-4494	[('Omicron', 0.9886123736968118)]	XBB.1.5.1 BA.4.1.10 BA.2.15 XBB.1.5.44 XBB.1.5.42	0.97296752 0.00557527 0.00512036 0.00333681 0.00161241	6.913576577114253	17.523325418854295
WK117-4495	[('Omicron', 0.9962270918187714), ('Other', 0.001317674626358416)]	BA.2.21 BA.4.8 BA.4.1.4 BA.4.1.9 BA.4.1 P.6	0.49712297 0.49406887 0.00167842 0.00167842 0.00167842 0.00131767	1.2758800194489646	4.099923084640337
WK117-4496	[('Omicron', 0.9906610902527405), ('Other', 0.0014513800000241221)]	XBB.1.5.23 XBB.1.5.22 XBB.1.11 XBB.1.28 XBB.1.29 XBB.1.11.1 XBB.1.7 XBB.1.6 XBB.1.13 XBB.1.18 XBB.1.5.24 XBB.1.18.1 XBB.1.15 BA.2.3.4 XBB.1.5.12 XBB.1.5.27 XBB.1.5.46 XBB.1.5.19 XBB.1.5 XBB.1.5.20 XBB.1.5.14 XBB.1.5.7 XBB.1.5.33 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.1 XBB.1.5.28 XBB.1.5.16 XBB.1.5.21 XBB.1.5.36 XBB.1.5.40 XBB.1.5.48 XBB.1.5.32 XBB.1.5.25 XBB.1.5.49 XBB.1.5.39 XBB.1.5.17 XBB.1.5.15 EM.1 XBB.1.5.34 XBB.1.5.38 FG.2 XBB.1.5.11 XBB.1.5.51 DV.1 B.1.1.93 CH.1.1.5 XBB.1.5.44 FR.1 XBB.1.20 BA.4.7	0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.04882945 0.01540335 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.01043870 0.00763966 0.00337012 0.00145138 0.00139010 0.00125899 0.00112003 0.00109517 0.00100108	0.6870063275169533	3.1501856001070125
WK117-4501	[('Omicron', 0.9880733714617559)]	FH.1 XBB.1.5.40 XBB.1.5.27 XBB.1.5.12 XBB.1.5.28 XBB.1.5.1 XBB.1.5.30 XBB.1.5.4 XBB.1.5.2 XBB.1.5.18 XBB.1.5.3 XBB.1.5.33 XBB.1.5.26 XBB.1.5.31 XBB.1.5.7 XBB.1.5.14 XBB.1.5 XBB.1.5.36 XBB.1.5.16 XBB.1.5.11 XBB.1.5.15 XBB.1.5.19 XBB.1.5.25 XBB.1.5.6 XBB.1.5.52 XBB.1.5.39 XBB.1.5.17 XBB.1.5.49 EL.1 XBB.1.5.21 FG.3 XBB.1.5.38 XBB.1.5.51 BA.2.15 XBB.1.10 XBB.1.5.42 FG.1 BA.4.1.11 BA.4.7 XBB.1.11.1 XBB.1.11	0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.03014853 0.00599078 0.00589345 0.00329924 0.00212686 0.00145476 0.00138937 0.00109553 0.00103519 0.00103519	7.399230887096988	17.02504765408153
WK117-4502	[('Omicron', 0.9821010943482622), ('Other', 0.004615266390383954)]	XBB.1.5.51 XBB.1.5.26 XBB.1.5.2 XBB.1.5.4 XBB.1.5.30 XBB.1.5.7 XBB.1.5.12 XBB.1.5.16 XBB.1.5.36 XBB.1.5.14 XBB.1.5.52 XBB.1.5.24 XBB.1.18.1 XBB.1.5.22 EM.1 XBB.1.5.18 FG.3 FG.2 XBB.1.11.1 XBB.1.5.15 XBB.1.5 XBB.1.5.49 XBB.1.5.6 XBB.1.5.32 XBB.1.5.19 XBB.1.5.46 XBB.1.11 XBB.1.4 XBB.1.18 EG.4 XBB.1.10 XBB.1.5.47 XBB.1.4.1 XBL.3 XBB.1.5.8 XBB.1.5.42 FD.2 XBB.1.5.1 XBB.1.13 XBB.1.5.3 XBB.1.15 XBL XBL.2	0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.03435629 0.02125019 0.02125019 0.02125019 0.00345895 0.00288053 0.00282158 0.00281658 0.00253813 0.00218659 0.00211227 0.00205573 0.00195717 0.00192308 0.00154202 0.00133254 0.00103857 0.00103857	2.679229066681916	21.3791258402167
WK117-4503	[('Omicron', 0.9817764923255657)]	XBB.1.5.21 XBB.1.22 FD.2 XBB.1.6 XAC BA.5 XBB.1.5.42 XBB.1.30 XBB.1.5.1 XBB.1.5.34	0.62286467 0.28325042 0.04654360 0.01315790 0.00707832 0.00346020 0.00151640 0.00140448 0.00132302 0.00117748	6.664583124041451	28.204527973781893
WK117-4504	[('Omicron', 0.9829665366782245)]	XBB.1.5 XBB.1.5.14 XBB.1.5.34 XBB.1.5.11 XBB.1.5.52 XBB.1.5.36 XBB.1.5.31 XBB.1.5.7 XBB.1.5.18 XBB.1.5.16 XBB.1 XBB.2 XBB.2.8 XBB.2.7 XBB XBB.1.10 XBB.1.5.47 XBB.1.5.8 XBB.1.6 XBB.1.5.42 FD.2 XBB.1.15 XBB.1.11 XBB.1.5.37 XBB.1.5.1	0.09142084 0.09142084 0.09142084 0.09142084 0.09142084 0.09142084 0.09142084 0.09142084 0.09142084 0.09142084 0.01017129 0.01017129 0.01017129 0.01017129 0.01017129 0.00305480 0.00300601 0.00287732 0.00181488 0.00149523 0.00122733 0.00118987 0.00115858 0.00106308 0.00101454	5.725660564640481	41.09621108250008
WK117-4505	[('Omicron', 0.9802818177957511), ('Other', 0.001786023999997685)]	XBB.1.22 XBB.1.22.1 EK.3 XBB.1.5.13 XBB.1.32 XBB.1.18 XBB.1.4 XBB.1.30 XBB.1.11 XBB.1.7 XBB.1.10 XBB.1.9.3 EK.1 XBL.3 XBB.1.5.34 XBB.1.5.1 XBB.1.4.1 BA.5.9 BA.5.8 EG.4 XBB.1.5.47 XBB.1.5.11 FG.2 FG.3 XBB.1.5.51 EM.1 XBB.1.5.22 XBB.1.18.1 XBB.1.5.24 XBB.1.5 XBB.1.11.1 XBB.1.5.23 XBB.1.5.14 XBB.1.5.7 XBB.1.5.31 XBB.1.5.18 XBB.1.5.35 XBB.1.5.4 XBB.1.5.52 XBB.1.5.16 XBB.1.5.36 XBB.1.13	0.24623462 0.24623462 0.19810117 0.19810117 0.01307564 0.00657865 0.00657865 0.00657865 0.00657865 0.00657865 0.00534222 0.00455005 0.00379766 0.00178602 0.00176395 0.00148920 0.00148588 0.00123254 0.00117252 0.00117220 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00107728 0.00101216	2.227805380083669	20.008025950573522
WK117-4506	[('Omicron', 0.9822792231137486)]	XBB.1.5.13 XBB.1.5.47 XAC XBE XBB.1.5.8	0.96619500 0.00957718 0.00416258 0.00122502 0.00111944	13.11421790928501	41.84195565662308
WK117-4507	[('Error', 1.00)]	Error	1.00	-1	-1
WK117-4508	[('Omicron', 0.9865879359881526)]	XBB.1.5.21 XBB.1.22.1 XBB.1.22 XBB.1.5.44 XBB.1.5.47 XBB.1.10 XBB.1.30 XBB.1.5.42 FD.2 XBB.1.5.8 XBB.1.5.1 XBB.1.9.3 XBR XBB.1.13	0.68067842 0.13985534 0.13985534 0.00630438 0.00349553 0.00306602 0.00294125 0.00203079 0.00165198 0.00156550 0.00155925 0.00134409 0.00115720 0.00108283	6.716467269009664	41.73494298230947
WK117-4511	[('Omicron', 0.9855183152503852)]	XBB.1.5.1 XBB.1.5 FG.3 XBB.1.5.52 XBB.1.5.36 XBB.1.5.16 XBB.1.5.12 XBB.1.5.30 XBB.1.5.2 XBB.1.5.18 XBB.1.5.31 XBB.1.5.7 XBB.1.5.44 XBB.1.11 XBB.1.5.47 XBB.1.15 XBB.1.5.42 XBB.1.5.8 XBB.1.5.34 XBB.1.10	0.72934700 0.02130855 0.02130855 0.02130855 0.02130855 0.02130855 0.02130855 0.02130855 0.02130855 0.02130855 0.02130855 0.02130855 0.00492924 0.00475711 0.00441026 0.00242665 0.00162476 0.00137680 0.00115115 0.00110132	8.34538434034832	50.784202253954454
WK117-4512	[('Omicron', 0.9816303912883033)]	FL.2 XBB.1.22.1 FL.1 XBB.1.22 FL.2.1 XBB.1.9.1 XBB.1.9.3 XBB.1.9 XBB.1.5.2 XBB.1.5.18 XBB.1.5.31 XBB.1.5.12 XBB.1.5.7 XBB.1.5.36 XBB.1.5.30 XBB.1.5.34 XBB.1.5.16 XBB.1.5.14 XBB.1.5.37 XBB.1.5.52 FG.3 XBB.1.5 EM.1 XBB.1.5.32 XBB.1.5.51 XBB.1.5.49 XBB.1.5.20 XBB.1.5.15 XBB.1.5.48 FG.2 XBB.1.5.19 XBB.1.25 XBB.1.5.47 XBB.1.5.1 FD.2 XBB.1.5.42 FD.1 XBB.1.5.44 XBB.1.15 XBB.1.5.11 XBB.1.5.8	0.07617505 0.07617505 0.07617505 0.07617505 0.07617505 0.07617505 0.02304002 0.02304002 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.01978026 0.00869813 0.00223982 0.00199477 0.00188366 0.00173287 0.00158228 0.00152023 0.00143400 0.00143266 0.00103565	6.750978389706765	30.812961910176238
WK117-4513	[('Omicron', 0.9857641448616143)]	XBB.1.5.36 XBB.1.5.11 XBB.1.5.33 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.12 XBB.1.5.19 XBB.1.5.52 XBB.1.5.34 XBB.1.5.51 XBB.1.5.10 XBB.1.5 XBB.1.5.49 XBB.1.5.6 XBB.1.5.32 XBB.1.5.20 XBB.1.5.31 XBB.1.5.1 XBB.1.4.1 XBB.1.13 XBB.1.5.42 XBB.1.5.8 XBB.1.11	0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.05111059 0.00566052 0.00245762 0.00244378 0.00174254 0.00132046 0.00103802	6.926892146356234	43.17961408554326
WK117-4514	[('Omicron', 0.9806384416841702), ('Other', 0.0038857678019820516)]	XBB.1.5.14 XBB.1.5.7 XBB.1.5.10 XBB.1.5.21 XBB.1.5.16 EU.1.1.1 XBB.1.5.36 XBB.1.5.11 XBB.1.5.3 XBB.1.5.40 EU.1 XBB.1.5.31 XBB.1.5.29 XBB.1.5 FG.2 XBB.1.5.18 XBB.1.5.26 EM.1 EU.1.1 XBB.1.5.28 XBB.1.5.30 XBB.1.5.12 XBB.1.5.2 XBB.1.5.47 BA.3 XBB.1.15 XBL XBL.2 XBB.1.5.42 XBB.1.5.37 XBB.1.5.8 XBB.1.5.34 BP.1 XBB.1.5.44	0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.04173958 0.00647948 0.00376915 0.00211138 0.00194288 0.00194288 0.00177645 0.00151480 0.00138064 0.00126115 0.00122224 0.00111276	5.85982163102716	34.3376918703809
WK117-4515	[('Omicron', 0.9928545087930046), ('Other', 0.0015424803167367245)]	FD.2 XBB.1.5.26 XBB.1.5.40 XBB.1.5.36 XBB.1.5.12 XBB.1.5.28 XBB.1.5.1 XBB.1.5.30 XBB.1.5.35 XBB.1.5.2 XBB.1.5.18 XBB.1.5.3 XBB.1.5.31 XBB.1.5.11 XBB.1.5.7 XBB.1.5.14 XBB.1.5 XBB.1.35 XBB.1.30 XBB.1.1 XBB.1.28 XBB.1.15 XBB.1.7 XBB.1.13 XBB.1.5.27 XBB.1.5.47 XBB.1.6 XBB.1.5.17 XBB.1.5.46 XBB.1.5.5 XBB.1.5.19 XBB.1.5.37 XBB.1.5.48 XBB.1.5.32 XBB.1.5.25 XBB.1.5.6 XBB.1.5.49 XBB.1.5.23 XBB.1.5.39 XBB.1.5.15 EL.1 XBB.1.5.21 XBB.1.5.38 XBB.1.5.51 XBB.1.5.34 EM.1 XBB.1.5.22 XBB.1.5.24 XAC BA.1.1.4 XBB.1.5.44 C.8	0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.02025485 0.01069798 0.00516104 0.00476261 0.00154248	0.5778942574274306	6.848811156071297
WK117-4516	[('Omicron', 0.9945393647174657)]	XBB.1.5.47 XBB.1.5.2 XBB.1.5.40 XBB.1.5.36 XBB.1.5.16 XBB.1.5.12 XBB.1.5.28 XBB.1.5.1 XBB.1.5.30 XBB.1.5.4 XBB.1.5.35 XBB.1.5.18 XBB.1.13 XBB.1.5.3 XBB.1.5.31 XBB.1.5.7 XBB.1.5.14 XBB.1.5 XBB.1.30 XBB.1.29 XBB.1.28 XBB.1.4 FH.1 XBB.1.5.11 XBB.1.5.52 XBB.1.18.1 FD.2 XBB.1.5.27 XBB.1.5.46 XBB.1.5.19 XBB.1.5.20 XBB.1.5.37 XBB.1.5.48 XBB.1.5.32 XBB.1.5.6 XBB.1.5.49 XBB.1.5.17 XBB.1.5.15 FE.1 FG.2 FG.3 XBB.1.5.51 XBB.1.5.34 EM.1 XBB.1.5.22 XBB.1.18 BA.2.9.4 XBB.1.5.41	0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.02151217 0.00386278 0.00111662	1.1699518204559287	2.7522322175032605
WK117-4517	[('Omicron', 0.9827584680765209), ('Other', 0.001717119998645647)]	XBB.1.5.24 XBB.1.5.23 XBB.1.29 XBB.1.1 XBB.1.5.14 XBB.1.5.7 XBB.1.5.33 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.12 XBB.1.5.16 XBB.1.5.36 XBB.1.5 FG.3 XBB.1.5.15 XBB.1.5.25 XBB.1.5.32 XBB.1.5.48 XBB.1.5.37 XBB.1.5.20 XBB.1.5.44 XBB.1.5.47 EM.1 XBB.1.5.1 XBB.1.15 XBB.1.5.42 XBL.3 XBB.1.5.8 XBB.1.4.1 FD.2 XBB.1.13 XBB.1.30 FE.1 XBB.1.34	0.31029515 0.31029515 0.02565208 0.02565208 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.01692223 0.00306748 0.00270114 0.00240385 0.00208073 0.00190674 0.00181175 0.00171712 0.00150347 0.00149925 0.00144395 0.00131794 0.00123513 0.00119925 0.00101536	4.978270052510757	41.55435909440524
WK117-4518	[('Omicron', 0.9803963758556304)]	XBB.1.5.15 XBB.1.5.3 XBB.1.5.2 XBB.1.5.30 XBB.1.5.1 XBB.1.5.28 XBB.1.5.12 XBB.1.5.40 XBB.1.5.31 XBB.1.5.52 XBB.1.5.18 XBB.1.5.49 XBB.1.5.25 XBB.1.5.32 XBB.1.5.48 XBB.1.5.37 XBB.1.5.19 XBB.1.5.46 XBB.1.5 XBB.1.5.7 XBB.1.5.47 XBB.1.5.44 XBB.1.10 XBB.1.5.41 XBB.1.5.42 FD.2 XBB.1.5.8 XBB.1.15	0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.04820442 0.00329049 0.00325188 0.00232500 0.00176642 0.00161766 0.00150046 0.00128041 0.00127570	9.260301555489647	47.91158077784838
WK117-4519	[('Omicron', 0.9887890674111716)]	FE.1 XBB.1.6 XBB.1.30 XBB.1.1 XBB.1.29 XBB.1.11 XBB.1.18 XBB.1.4.1 XBB.1.13 XBB.1.5.1 BM.1.1.4 BA.2.82 XR	0.92945960 0.00814157 0.00814157 0.00814157 0.00814157 0.00814157 0.00814157 0.00399481 0.00207039 0.00134228 0.00104912 0.00101588 0.00100756	3.2488699089692394	11.90181587131726
WK117-4520	[('Omicron', 0.9841320348574326), ('Other', 0.002619540327843368)]	XBB.1.5.7 FG.2 XBB.1.5.15 FD.2 XBB.1.5.6 EM.1 XBB.1.5.52 FG.3 XBB.1.5.19 EL.1 XBB.1.5 XBB.1.5.12 XBB.1.5.37 XBB.1.5.48 XBB.1.5.46 XBB.1.5.32 XBB.1.5.30 XBB.1.5.25 XBB.1.5.20 XBB.1.5.17 XBB.1.5.2 XBB.1.5.16 XBB.1.5.26 XBB.1.5.35 XBB.1.5.3 XBB.1.5.10 XBB.1.5.36 XBB.1.5.31 XBB.1.5.18 XBB.1.5.14 XBB.1.5.33 XAC XBB.1.5.47 XBB.1.10 XBL XBB.1.5.42 XBB.1.5.8 XBB.1.5.44 XBB.1.5.34 XBB.1.15	0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.03081960 0.01281289 0.00379684 0.00298706 0.00261954 0.00213586 0.00208379 0.00191571 0.00178891 0.00120340	5.252027976404214	23.73674882118851
WK117-4522	[('Omicron', 0.9789066204879436)]	XBB.1.5.21 DD.1 BA.5.2.23 BA.2.45 BA.2.38.1 BA.2.3.8 XBB.1.5.44 BA.2.9.4 BF.9 BA.2.38.2 DW.1 BF.11.5 BG.4 BA.2.76.1 BF.38 BF.38.3 XBB.1.14	0.83937768 0.08890164 0.01126516 0.00777218 0.00469484 0.00439632 0.00415461 0.00409417 0.00265704 0.00187617 0.00167861 0.00156495 0.00138696 0.00137188 0.00134058 0.00134058 0.00103326	5.886649375686953	14.440022740193292
WK117-FD1	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
WK117-FD2	[('Omicron', 0.9799428314002777), ('Other', 0.0038032500000032532)]	XBB.1.5.24 XBB.1.5.23 XBB.1.30 XBB.1.1 XBB.1.21 XBB.1.28 XBB.1.4 XBB.1.7 XBB.1.13 XBL.3 XBB.1.12 XBB.1.5.47 XBB.1.10 XBB.1.15 FD.2 XBB.1.5.8	0.10745292 0.10745292 0.10745292 0.10745292 0.10745292 0.10745292 0.10745292 0.10745292 0.10745292 0.00380325 0.00358423 0.00275556 0.00220527 0.00166455 0.00141036 0.00124656	3.6170091767668433	31.76604354078186
