	summarized	lineages	abundances	resid	coverage
MB	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
NFWA	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
NFWC	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
NFWE	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
WK117-4483	[('Omicron', 0.9988044974052895)]	XE BA.2.3.7 BA.4.8 BA.2.5 BA.2.63 BA.2.71 BA.2.14 BA.2.10.1 BA.2.10.2 BA.2.10.3 BA.2.11 BA.2.28 BA.2.32 BA.2.50 BA.2.27 BA.2.25 BA.2.8 BA.2.23 BA.2.24 BA.2.3 BA.2.10 BA.2.1 BA.2.56 BA.2.30 BA.2.36 BA.2.69 BA.2.51 BA.2.44 BA.2.13 XN BA.2.25.1 BA.2.3.14 BA.2.3.17 BA.2.9.5 BA.2.9.3 BA.2.9.2 BA.2.45 BA.2.47 BA.2.3.5 BA.2.3.10 BA.2.3.2 BA.2.3.13 BA.2.19 BA.2.7 BA.2.9 BA.2.6 BA.2	0.50000000 0.25000000 0.01079023 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942 0.00540942	1.2797160998100674	1.351035013209377
WK117-4484	[('Omicron', 0.9857081841542396)]	XBB.1.5.28 XBB.1.27 XBB.1.13 XBB.1.15 XBB.1.10	0.92678872 0.05135908 0.00519839 0.00128412 0.00107787	7.491806736579234	47.10898572049627
WK117-4486	[('Omicron', 0.9850970031844202), ('Other', 0.005251895505324745)]	FD.2 XBB.1.22 FL.2.1 FL.2 FL.3 XBB.1.9.1 AV.1 XBB.1.10 BA.2.3.21 BA.2.38.1 XBB.1.5.44 BG.4 XBB.1.5.38 BA.2.3.6 B.1.1.524	0.64923700 0.06361604 0.06361604 0.06361604 0.06361604 0.06361604 0.00420168 0.00387847 0.00375863 0.00279330 0.00252207 0.00179166 0.00165289 0.00138278 0.00105022	6.633438080355349	17.580175902083404
WK117-4487	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
WK117-4488	[('Error', 1.00)]	Error	1.00	-1	-1
WK117-4490	[('Omicron', 0.9844863356431912)]	XBB.1.22.1 XBB.1.22 FD.2 XBB.1.5.30 XBB.1.5.43 XBB.1.5.52 XBB.1.5.11 XBB.1.5.36 XBB.1.5.16 XBB.1.5.12 XBB.1.5.2 XBB.1.5.22 XBB.1.5.18 XBB.1.5.3 XBB.1.5.31 XBB.1.5.7 XBB.1.5.14 XBB.1.11.1 XBB.1.5 XBB.1.18.1 XBB.1.5.24 EM.1 XBB.1.5.49 XBB.1.5.46 XBB.1.5.29 XBB.1.5.5 XBB.1.5.19 XBB.1.5.34 XBB.1.5.32 XBB.1.5.25 XBB.1.5.20 XBB.1.5.15 FE.1 FG.2 XBB.1.5.10 XBB.1.5.51 XBB.1.6 XBB.1.28 XBB.1.8 XBB.1.11 XBB.1.18 XBB.1.7 XBB.1.5.1 CV.1 CH.1.1.13 FL.1 BL.1.5	0.12443977 0.12443977 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01953374 0.01056182 0.01056182 0.01056182 0.01056182 0.01056182 0.01056182 0.00338600 0.00127065 0.00124898 0.00112045 0.00106270	1.062143668138616	6.808681403203692
