	summarized	lineages	abundances	resid	coverage
WK104-3955	[('Omicron', 0.9760629414840565)]	XBE BA.5 BQ.1.15.1 BE.1.1.1 BQ.1.17 BQ.1.3 BQ.1.19 BQ.1.2 BQ.1.15 BQ.1.31 BQ.1.7 BQ.1 BQ.2 BQ.1.9 BF.9 BE.1.1.2 CC.1 BE.8 XAC	0.32287717 0.14795660 0.04494519 0.04494519 0.04494519 0.04494519 0.04494519 0.04494519 0.04494519 0.04494519 0.04494519 0.04494519 0.04494519 0.00390879 0.00175610 0.00149700 0.00149700 0.00113256 0.00104063	7.70889981063425	25.144634317626995
WK104-3956	[('Omicron', 0.9722629205734995), ('Other', 0.0023195323553779146)]	BE.1.1 CC.1 BE.1.1.2 BA.5 XBB.1.13 XBB.1.18 XBB.1.15 XBB.1.21 XBB.1.14 XBB.1.1 XBB.1.30 XBB.1.6 XBB.1.7 XBB.1.5.23 XBB.1.5.24 XBB.1.18.1 XBB.1.5.22 FE.1 BQ.1.1.70 XBB.1.32 XBB.1.5.42 XBB.1.11.1 XBB.1.11 XBB.1.5.8 B.1.256 XBB.1.5.38 BQ.1.1.35 B.1.1.375	0.22470999 0.22470999 0.22470999 0.11705108 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.01195024 0.00368814 0.00224341 0.00154100 0.00133745 0.00133745 0.00131377 0.00117798 0.00116723 0.00115009 0.00114155	7.416429104721804	28.679396716048558
WK104-3957	[('Omicron', 0.9863638149878946)]	BA.2.38.4 BA.2.76 BA.2.74 BA.2.9.4 XY BF.9 BA.2.3.2 XM BA.2.2.1 DV.1 BA.2.80 BG.3 BA.2.76.1 BA.2.46 BA.2.85	0.92112990 0.01110889 0.01110889 0.01093750 0.01090340 0.00317737 0.00306688 0.00279118 0.00270595 0.00264165 0.00152983 0.00143550 0.00141728 0.00139147 0.00101812	4.776838293171477	19.452897702571647
WK104-3958	[('Omicron', 0.9859230724055417)]	XAS BQ.1.1.32 DT.1 BQ.1.1.2 BQ.1.24 BQ.1.25 BQ.1.25.1 BA.2.9.4 DT.3 BQ.1.1.31 BQ.1.1.15 BQ.1.1.18 BQ.1.1.11 BQ.1.1.52 BQ.1.1.53 BQ.1.1.51 BQ.1.1.22 BQ.1.1.13 BQ.1.1.14 BQ.1.1.17 BQ.1.1.16 BQ.1.1.69 BQ.1.1 BQ.1.1.45 BQ.1.1.64 BQ.1.1.26 BQ.1.1.48 EF.1.1 CW.1 BQ.1.1.63 EF.1 BQ.1.1.30 ER.1 BQ.1.1.34 BQ.1.1.20 BQ.1.1.25 BQ.1.1.68 EA.2 BQ.1.1.23 BQ.1.9 ER.1.1 BQ.1.10 BQ.1.1.12 BQ.1.1.67 BQ.1.4 BA.2.76.1 BQ.1.1.27 FM.1 BQ.1.1.8	0.43028363 0.19023910 0.19023910 0.01398600 0.00986834 0.00986834 0.00986834 0.00604230 0.00575580 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00331179 0.00310752 0.00285714 0.00258911 0.00246103 0.00212597 0.00173001 0.00163174 0.00145138 0.00138552 0.00107911	7.685684721336441	31.742634518275757
WK104-3959	[('Omicron', 0.9861381901380406)]	XAS BA.5 BQ.1.1.51 BQ.1.9 BQ.1.24 BQ.1.1 CQ.2 XBS XBR BQ.1.15.1 BQ.1.15.2 BQ.1.1.32 BQ.1.1.16 BQ.1.1.17 BQ.1.1.14 BQ.1.1.40 BQ.1.1.9 BQ.1.3 BQ.1.1.13 BQ.1.1.31 BQ.1.1.21 BQ.1.1.74 BQ.1.1.67 BQ.1.1.47 BQ.1.1.66 BQ.1.1.6 BQ.1.1.53 BQ.1.1.52 BQ.1.22 BQ.1.1.58 BQ.1.1.11 BQ.1.17 XBP BQ.1.1.1 BQ.1.19 BA.5.3.1 BE.1 BE.4 BE.1.4 BE.1.1 BE.1.2 BE.2 BE.1.4.4 BE.1.4.1 BE.1.1.2 BE.1.1.1 BE.1.2.1 BE.4.2 BQ.2 BE.4.1 CC.1 BQ.1 BE.4.1.1 BQ.1.7 BQ.1.20 BQ.1.14 BQ.1.31 BQ.1.15 BQ.1.2 BQ.1.5 BQ.1.10 BQ.1.26 BQ.1.8.1 EY.1 BQ.1.1.36 BQ.1.10.2 BQ.1.18 CZ.1 CZ.2 DR.1 BQ.1.1.2 BQ.1.1.48 BQ.1.1.23 ED.2 ED.1 BQ.1.27 BQ.1.23 FA.1 BQ.1.25 EC.1 FM.2 BQ.1.1.61 BQ.1.1.43 EN.1 FN.1 DR.2 BQ.1.16 EC.1.1 EZ.1 EF.1.2 EF.1.1 BQ.1.8 BQ.1.30 EF.1.1.1 EA.2 BQ.1.1.5 FM.1 DT.2 BQ.1.1.3 BQ.1.1.18 BQ.1.1.10 BQ.1.1.15 BQ.1.1.45 BQ.1.1.64 BQ.1.1.46 BQ.1.1.50 BQ.1.26.1 BQ.1.32 BQ.1.10.1 BQ.1.10.3 BQ.1.1.29 DT.1 DT.3 BQ.1.1.63 BQ.1.1.55 BQ.1.1.25 BQ.1.1.20 BQ.1.1.60 BQ.1.1.34 BQ.1.1.30 EF.1 CW.1 BQ.1.1.8 BQ.1.1.62 BQ.1.1.68 BQ.1.1.37 BF.36 CL.1.1 BA.5.3.2 XAQ	0.01010821 0.01010821 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00775176 0.00148478 0.00118073 0.00102801 0.00100951	1.226892560338634	8.604487844029027
WK104-3960	[('Omicron', 0.9626580441180501)]	BE.1 BE.1.2 BQ.1.1.57 BA.2.33 XBB.1.9.3 BA.2.10.4 BQ.1.1.21 BF.9 BA.2.3.7 BA.2.40 ED.1 BQ.1.1.20 DW.1 BQ.1.1.68 EG.1.3 BA.2.48	0.45775544 0.28097386 0.18625733 0.01352870 0.00399467 0.00297619 0.00271161 0.00226389 0.00210247 0.00210196 0.00159272 0.00153846 0.00143318 0.00129870 0.00107066 0.00105820	7.9191309146972415	32.46162592382035
WK104-3961	[('Omicron', 0.9706854418868553)]	BA.5 BA.5.3.5 BA.5.6.3 BA.5.11 XBB.1.3 XBB.2.1 XBB.2.6 XBB XBB.2.7 XBB.2.5 XBB.2.4 XBB.2.8 XBB.2 XBB.1 XBB.1.5.1 XBB.1.5.52 XBB.1.5.11 XBB.1.5.47 XBB.1.5.40 XBB.1.5.36 XBB.1.5.16 XBB.1.5.28 XBB.1.5.14 XBB.1.5.33 XBB.1.5.7 XBB.1.13 FD.1.1 XBB.1.15 XBB.1.18 XBB.1.7 XBB.1.5 XBB.1.6 XBB.1.5.24 XBB.1.5.17 FT.1 FD.1 FD.2 XBB.1.5.27 XBB.1.5.46 XBB.1.5.20 XBB.1.5.37 XBB.1.5.48 XBB.1.5.25 XBB.1.5.49 XBB.1.18.1 XBB.1.5.39 XBB.1.5.15 XBB.1.5.21 FG.2 XBB.1.5.38 XBB.1.5.10 XBB.1.5.51 XBB.1.5.34 EM.1 XBB.1.5.22 XBB.1.5.43 DJ.1.2 BF.9 BA.5.1.31 BA.5.2.51 BA.2.32 EF.2	0.29323165 0.01465451 0.01465451 0.01465451 0.01251936 0.01251936 0.01251936 0.01251936 0.01251936 0.01251936 0.01251936 0.01251936 0.01251936 0.01251936 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.01176753 0.00389105 0.00334448 0.00303490 0.00156966 0.00115952 0.00106096	1.1319073926825163	11.14938300504966
WK104-3962	[('Omicron', 0.9911958468022529)]	BQ.1.29 BA.5.1.18 BA.5.1.27 BA.5.1.26 BQ.1.9 BT.2 BQ.1.1.62	0.94792957 0.01884423 0.00950034 0.00950034 0.00251326 0.00147556 0.00143256	1.229606521901859	6.099722435875999
WK106-4023	[('Omicron', 0.9738843374057055)]	XBB XBB.6 XBB.1 XBB.8 XBB.4 BF.32 BA.5.7 XBB.1.10 BA.5.9 XAV XBB.1.5.20 XBB.5 XBB.1.5.37 BA.5.1.23 BA.5.2.2 XBB.1.32 XBB.3.1	0.18923821 0.18923821 0.18923821 0.18923821 0.18923821 0.00716374 0.00374269 0.00363738 0.00225149 0.00223048 0.00213675 0.00120864 0.00110687 0.00109238 0.00105411 0.00104384 0.00102494	3.9240610636552917	41.71153395980336
WK106-4024	[('Omicron', 0.9787352126439154)]	BQ.1.16 BQ.1.14 BQ.1.15 BQ.1 BQ.1.31 BQ.1.27 BQ.1.25 BQ.1.1.2 BQ.1.1.17 BQ.1.1.67 BQ.1.1.74 BQ.1.1.21 BQ.1.1.31 BQ.1.1.9 BQ.1.1.24 BQ.1.1.72 BQ.1.1.66 BQ.1.1.69 BQ.1.1.32 BQ.1.1 BQ.1.24 BQ.1.9 BQ.1.1.5 BQ.1.1.47 BQ.1.1.6 BQ.1.1.18 EA.2 BQ.1.1.34 FC.1 DT.3 DT.1 BQ.1.1.45 BQ.1.1.64 BQ.1.1.1 BQ.1.1.37 BQ.1.1.11 BQ.1.1.52 BQ.1.1.53 BA.2.3.21 BA.2.3.2 BA.2.38.2 BQ.1.18 BQ.1.1.48 BA.2.2 XW BQ.1.1.56 BA.2.40 XBB.3.1 BA.2.54 BQ.1.21 BA.2.82 BQ.1.5 BA.2.61 BA.2.38.3 ES.1 BQ.1.1.63 BA.5.5.3 BA.2.66 BQ.1.26.1 BQ.1.15.2	0.05393806 0.05393806 0.05393806 0.05393806 0.05393806 0.05393806 0.02790293 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.01862360 0.00911708 0.00766565 0.00436681 0.00269542 0.00221169 0.00216685 0.00199203 0.00185087 0.00184293 0.00160231 0.00143811 0.00141323 0.00134228 0.00129983 0.00128000 0.00120156 0.00112360 0.00110988 0.00106157 0.00105130 0.00103842 0.00100100	3.848460643965211	38.57138079791325
