	summarized	lineages	abundances	resid	coverage
MB-104	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
MB-106	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
MB-111	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
NFWA	[('Omicron', 0.9247698498142002), ('Other', 0.06745814167767297)]	BA.2.74 BA.2.76 XBL.3 XBL.2 XBL XBB XBB.1 XBB.2 XBB.8 XBB.4 XBB.6 XBB.3 XBB.9 XBB.2.8 XBB.2.4 XBB.2.5 XBB.7 XBB.1.19 XBB.1.3 XBB.2.6 XBN XBB.4.1 XBB.3.1 XBB.3.4 XBB.2.1 XBB.5 BQ.1.32 BA.2.2.1 B.1.1.482 BA.2.35	0.32697798 0.32697798 0.01766219 0.01766219 0.01766219 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.01327088 0.00230388 0.00198365 0.00120070 0.00110881	0.6573276770601393	2.0432732501755675
NFWC	[('Undetermined', 1.00)]	Undetermined	1.00	-1	-1
WK104-3955	[('Omicron', 0.975151034993672)]	BA.4 BA.4.8 BA.4.3 BA.5 BA.4.5 BA.4.1.5 BA.4.1 BA.4.7	0.38615561 0.38615561 0.17628814 0.01279429 0.00686499 0.00294123 0.00294123 0.00100993	5.4230623830388005	49.38634919573287
WK104-3956	[('Omicron', 0.9664181537879509)]	BQ.1.24 EE.4 EE.5 BQ.1.1.4 BQ.1.9 BQ.1.18 BQ.1.22 BF.9 BQ.1.1.61 BQ.1.1.25 BQ.1.1.62 BA.5.5.3	0.73031542 0.07427911 0.07427911 0.07427911 0.00328407 0.00196298 0.00179269 0.00165426 0.00138696 0.00110569 0.00106610 0.00101266	10.35765195298199	70.247132394743
WK104-3957	[('Omicron', 0.9712912699676417)]	BE.1.1.1 BA.5 BA.5.5.3 BA.2.3.16 XAV BA.5.3.3 BA.5.3.2 BA.5.3.4 BA.5.5 BA.5.3 BA.2.43 BA.2.85	0.58009144 0.33631856 0.01677124 0.00614930 0.00463006 0.00463006 0.00463006 0.00463006 0.00463006 0.00463006 0.00317357 0.00100680	6.759298180751976	27.532354613249506
WK104-3958	[('Omicron', 0.9849442051473809)]	BA.5.3.5 BE.1.2.1 BE.1.2 BQ.1.1.48 BQ.1.1.36 BQ.1.24 BQ.1.1 BQ.1.1.16 BQ.1.1.72 BQ.1.1.51 BQ.1.1.24 BQ.1.1.31 BQ.1.1.21 BQ.1.1.6 BQ.1.1.53 BQ.1.1.11 BQ.1.1.58 BQ.1.1.18 FC.1 FA.1 BQ.1.1.2 BQ.1.1.29 BQ.1.1.10 BQ.1.1.63 BQ.1.1.25 BQ.1.1.45 BQ.1.1.15 BQ.1.9 EA.2 BQ.1.1.52 BQ.1.1.5 CP.8 BQ.1.26.1 DW.1 BQ.1.25 BQ.1.25.1 BE.1.4.1 BQ.1.1.62	0.22459869 0.19029720 0.19029720 0.03846150 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.01378639 0.00660066 0.00290697 0.00290697 0.00277008 0.00155087 0.00135318 0.00132450 0.00131234 0.00131234 0.00109409 0.00107066	6.726153427564389	38.701802494732966
WK104-3959	[('Omicron', 0.9952302941627379)]	DN.1.1.1 DN.1.1.4 BQ.1.1.64 BQ.1.1.45 BQ.1.1.15 BQ.1.1.10 BQ.1.1.18 BQ.1.1.3 BQ.1.1.36 BQ.1.1.1 BQ.1.1.37 BQ.1.1.11 BQ.1.1.58 BQ.1.22 BQ.1.1.52 BQ.1.1.53 BQ.1.1.6 BQ.1.1.66 BQ.1.1.47 BQ.1.1.67 BQ.1.1.74 BQ.1.1.21 BQ.1.1.31 BQ.1.1.9 BQ.1.1.24 BQ.1.1.14 BQ.1.1.17 BQ.1.1.72 BQ.1.1.16 BQ.1.1.69 BQ.1.1.32 BQ.1.1.46 BQ.1.1.50 DT.1 BQ.1.1.2 DN.1.1 EH.1 DN.1 EW.1 BQ.1.1.27 BQ.1.1.28 DR.2 EW.2 BQ.1.1.41 FA.1 ED.2 ED.3 BQ.1.1.48 DR.1 DT.2 CZ.2 BQ.1.1.5 EA.2 FM.1 BQ.1.1.29 BQ.1.1.38 BQ.1.1.20 BQ.1.1.34 BQ.1.1.30 BQ.1.1.63 CW.1 FC.1 DT.3 BQ.1.1	0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047 0.01555047	0.8121281762543762	4.441025984014982
